Time,channel,V RMS,C RMS,V MOM,C MOM,V FUND,C FUND,V PERIOD,C PHASE SH,V SAG TIME,V SWELL TIME,C SWELL TIME,EN_ACT,EN_REACT,EN_APP,POW_ACT,POW_REACT,POW_APP,AHACC
109,2,35,834,14,-118,3,81,229,9720,0,0,0,0,0,0,-3,-3,35,0
110,1,35,421,-67,56,-40,-125,105,13912,0,0,0,0,0,0,0,0,17,0
110,2,35,834,-85,183,5,-131,494,11608,0,0,0,0,0,0,-3,-3,41,0
111,1,35,423,36,49,-35,-92,87,12712,0,0,0,0,0,0,0,0,17,0
111,2,35,836,44,147,0,-218,98,10544,0,0,0,0,0,0,0,-3,35,0
112,1,35,423,15,55,1,-15,340,11200,0,0,0,0,0,0,-2,-2,17,0
112,2,35,836,76,-1,-32,63,303,10264,0,0,0,0,0,0,1,0,37,0
113,1,35,421,40,-2,22,8,330,11888,0,0,0,0,0,0,-2,-2,17,0
113,2,35,834,32,-18,8,-9,188,11272,0,0,0,0,0,0,2,-3,37,0
114,1,35,421,27,-91,20,53,125,8600,0,0,0,0,0,0,1,0,17,0
114,2,35,836,-67,-87,-29,-230,183,13720,0,0,0,0,0,0,-3,-2,37,0
115,1,35,421,-28,-138,14,69,412,9528,0,0,0,0,0,0,-3,-2,17,0
115,2,35,834,32,-84,11,165,203,11424,0,0,0,0,0,0,-4,-3,35,0
116,1,35,421,4,-189,-34,80,154,11328,0,0,0,0,0,0,-2,0,17,0
116,2,35,834,39,-76,7,48,546,16408,0,0,0,0,0,0,1,-3,37,0
117,1,35,421,-30,-256,3,80,122,15728,0,0,0,0,0,0,-2,-2,17,0
117,2,35,836,38,-101,2,-97,368,12560,0,0,0,0,0,0,1,-4,35,0
118,1,35,421,-71,207,35,79,96,15776,0,0,0,0,0,0,0,-2,17,0
118,2,35,834,-41,-86,-29,-200,807,11176,0,0,0,0,0,0,-2,-2,35,0
119,1,35,421,-54,113,5,63,149,11904,0,0,0,0,0,0,-2,-2,16,0
119,2,35,834,9,-73,16,187,1,12744,0,0,0,0,0,0,0,-2,35,0
120,1,35,421,38,62,12,40,3,13056,0,0,0,0,0,0,0,0,17,0
120,2,35,836,79,-31,-26,91,19,11752,0,0,0,0,0,0,2,-4,37,0
121,1,35,421,49,21,18,20,54,13304,0,0,0,0,0,0,2,-2,17,0
121,2,35,834,46,45,-26,38,280,15680,0,0,0,0,0,0,-2,-2,35,0
122,1,35,421,20,-33,-34,-16,252,13104,0,0,0,0,0,0,-2,-2,17,0
122,2,35,834,37,94,4,-28,135,13336,0,0,0,0,0,0,-5,-2,37,0
123,1,35,423,14,-99,-37,-44,203,10680,0,0,0,0,0,0,-3,-2,17,0
123,2,35,834,106,172,17,-65,11,11104,0,0,0,0,0,0,-2,-2,33,0
124,1,35,421,43,-158,21,-92,134,12496,0,0,0,0,0,0,0,-2,17,0
124,2,35,834,-42,-209,25,-103,755,12576,0,0,0,0,0,0,-3,0,35,0
125,1,35,421,17,-248,-36,-149,411,11464,0,0,0,0,0,0,-2,-3,17,0
125,2,35,834,-51,-82,-34,-125,109,10528,0,0,0,0,0,0,-3,-2,35,0
126,1,35,421,61,230,0,-189,100,14448,0,0,0,0,0,0,-3,-2,17,0
126,2,35,834,5,-20,18,-125,129,11192,0,0,0,0,0,0,0,-2,35,0
127,1,35,421,14,144,0,243,407,9048,0,0,0,0,0,0,-2,-3,17,0
